# Legred et al. 2021
# M_TOV  prob  
1.90030 0.00552
1.91366 0.01326
1.92580 0.02541
1.94280 0.05083
1.96582 0.11050
1.99122 0.22431
2.02378 0.44309
2.04548 0.59116
2.07324 0.76133
2.09624 0.83867
2.10959 0.86298
2.12903 0.87293
2.14850 0.86077
2.16920 0.83094
2.19480 0.77680
2.23748 0.67293
2.28381 0.56243
2.34598 0.43204
2.38740 0.36022
2.44100 0.28066
2.50675 0.20110
2.58465 0.12486
2.68685 0.06740
2.73550 0.04972
2.81577 0.02983
2.89117 0.01657
2.95683 0.00773
3.00061 0.00110
