# Pang et al. 2021
# M_TOV  prob  
1.89729 0.00211
1.92008 0.00421
1.95163 0.00632
1.97618 0.01474
1.99458 0.03158
2.02088 0.08000
2.04892 0.15579
2.07434 0.25053
2.09801 0.33263
2.11904 0.38105
2.14534 0.40632
2.16637 0.41474
2.19092 0.40211
2.21721 0.36842
2.23825 0.32211
2.26279 0.25895
2.29610 0.19368
2.33554 0.13474
2.37147 0.07368
2.40478 0.04211
2.44861 0.01895
2.49418 0.00632
2.52574 0.00211
